StepID,DOY,Time1,Time2,Hours,StepLength,SL_Hour,Pack,,
218,363,28/12/2021 19:00,28/12/2021 23:00,4,118.3056113,29.57640283,Grant Creek,,
219,363,28/12/2021 23:00,29/12/2021 3:00,4,1.607982776,0.401995694,Grant Creek,,
220,364,29/12/2021 3:00,29/12/2021 7:00,4,695.6492442,173.9123111,Grant Creek,,
221,364,29/12/2021 7:00,29/12/2021 11:00,4,7.8703019,1.967575475,Grant Creek,,
222,364,29/12/2021 11:00,29/12/2021 15:01,4.016666667,1642.822917,410.7057293,Grant Creek,,
223,364,29/12/2021 15:01,29/12/2021 19:00,3.983333333,3167.36576,791.8414401,Grant Creek,,
224,364,29/12/2021 19:00,29/12/2021 23:00,4,2669.543136,667.3857841,Grant Creek,,
225,364,29/12/2021 23:00,30/12/2021 3:00,4,2.003524494,0.500881123,Grant Creek,,
226,365,30/12/2021 3:00,30/12/2021 7:00,4,1.937308803,0.484327201,Grant Creek,,
227,365,30/12/2021 7:00,30/12/2021 11:00,4,1655.450686,413.8626714,Grant Creek,,
228,365,30/12/2021 11:00,30/12/2021 15:00,4,3.715537725,0.928884431,Grant Creek,,
229,365,30/12/2021 15:00,30/12/2021 19:00,4,1.341830928,0.335457732,Grant Creek,,
230,365,30/12/2021 19:00,30/12/2021 23:00,4,58.23867261,14.55966815,Grant Creek,,
231,365,30/12/2021 23:00,31/12/2021 3:00,4,1094.104901,273.5262251,Grant Creek,,
232,1,31/12/2021 3:00,31/12/2021 7:00,4,276.4443053,69.11107632,Grant Creek,,
233,1,31/12/2021 7:00,31/12/2021 11:00,4,1516.04343,379.0108575,Grant Creek,,
234,1,31/12/2021 11:00,31/12/2021 15:01,4.016666667,2932.162238,733.0405596,Grant Creek,,
235,1,31/12/2021 15:01,31/12/2021 19:00,3.983333333,2251.056935,562.7642338,Grant Creek,,
236,1,31/12/2021 19:00,31/12/2021 23:00,4,15348.09313,3837.023282,Grant Creek,,
237,1,31/12/2021 23:00,1/1/2022 3:00,4,14369.47602,3592.369005,Grant Creek,,
238,2,1/1/2022 3:00,1/1/2022 7:00,4,14999.91155,3749.977887,Grant Creek,,
239,2,1/1/2022 7:00,1/1/2022 11:00,4,10877.25236,2719.313091,Grant Creek,,
240,2,1/1/2022 11:00,1/1/2022 15:00,4,4672.330192,1168.082548,Grant Creek,,
241,2,1/1/2022 15:00,1/1/2022 19:00,4,6735.390438,1683.84761,Grant Creek,,
242,2,1/1/2022 19:00,1/1/2022 23:00,4,1739.591521,434.8978801,Grant Creek,,
243,2,1/1/2022 23:00,2/1/2022 3:00,4,3.161278807,0.790319702,Grant Creek,,
244,3,2/1/2022 3:00,2/1/2022 7:00,4,126.1389316,31.53473291,Grant Creek,,
245,3,2/1/2022 7:00,2/1/2022 11:00,4,1214.873539,303.7183847,Grant Creek,,
246,3,2/1/2022 11:00,2/1/2022 15:00,4,2475.065489,618.7663723,Grant Creek,,
247,3,2/1/2022 15:00,2/1/2022 19:00,4,579.5703068,144.8925767,Grant Creek,,
248,3,2/1/2022 19:00,2/1/2022 23:00,4,1351.924042,337.9810106,Grant Creek,,
249,3,2/1/2022 23:00,3/1/2022 3:00,4,3828.472051,957.1180128,Grant Creek,,
250,4,3/1/2022 3:00,3/1/2022 7:00,4,1.581952856,0.395488214,Grant Creek,,
251,4,3/1/2022 7:00,3/1/2022 11:00,4,2188.759447,547.1898617,Grant Creek,,
252,4,3/1/2022 11:00,3/1/2022 15:00,4,1707.38407,426.8460174,Grant Creek,,
253,4,3/1/2022 15:00,3/1/2022 19:00,4,894.1836313,223.5459078,Grant Creek,,
254,4,3/1/2022 19:00,3/1/2022 23:00,4,528.3696381,132.0924095,Grant Creek,,
255,4,3/1/2022 23:00,4/1/2022 3:00,4,2689.670751,672.4176877,Grant Creek,,
256,5,4/1/2022 3:00,4/1/2022 7:00,4,226.0360889,56.50902221,Grant Creek,,
257,5,4/1/2022 7:00,4/1/2022 11:00,4,1.34126339,0.335315847,Grant Creek,,
258,5,4/1/2022 11:00,4/1/2022 15:00,4,2.000896499,0.500224125,Grant Creek,,
259,5,4/1/2022 15:00,4/1/2022 19:00,4,444.856263,111.2140657,Grant Creek,,
260,5,4/1/2022 19:00,4/1/2022 23:01,4.016666667,3715.196891,928.7992228,Grant Creek,,
261,5,4/1/2022 23:01,5/1/2022 3:00,3.983333333,1990.883676,497.720919,Grant Creek,,
262,6,5/1/2022 3:00,5/1/2022 7:00,4,3.24503275,0.811258188,Grant Creek,,
263,6,5/1/2022 7:00,5/1/2022 11:00,4,2.399700076,0.599925019,Grant Creek,,
264,6,5/1/2022 11:00,5/1/2022 15:02,4.033333333,4512.887795,1128.221949,Grant Creek,,
265,6,5/1/2022 15:02,5/1/2022 19:00,3.966666667,54.08585323,13.52146331,Grant Creek,,
266,6,5/1/2022 19:00,5/1/2022 23:00,4,2470.871443,617.7178606,Grant Creek,,
267,6,5/1/2022 23:00,6/1/2022 3:00,4,436.6626096,109.1656524,Grant Creek,,
268,7,6/1/2022 3:00,6/1/2022 7:00,4,67.91384754,16.97846189,Grant Creek,,
269,7,6/1/2022 7:00,6/1/2022 11:00,4,0.494080455,0.123520114,Grant Creek,,
270,7,6/1/2022 11:00,6/1/2022 15:00,4,2028.858018,507.2145044,Grant Creek,,
271,7,6/1/2022 15:00,6/1/2022 19:00,4,5446.682217,1361.670554,Grant Creek,,
272,7,6/1/2022 19:00,6/1/2022 23:00,4,9249.207112,2312.301778,Grant Creek,,
273,349,14/12/2021 23:00,15/12/2021 3:00,4,77.34242277,19.33560569,Blanc,,
274,350,15/12/2021 3:00,15/12/2021 7:00,4,45.38089719,11.3452243,Blanc,,
